Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\d3dx9_28.dll

File Type: DLL

  Section contains the following exports for d3dx9_28.dll

    00000000 characteristics
    4394E5E3 time date stamp Tue Dec  6 02:14:11 2005
        0.00 version
           1 ordinal base
         332 number of functions
         332 number of names

    ordinal hint RVA      name

          1    0 0014E890 D3DXAssembleShader
          2    1 0014E270 D3DXAssembleShaderFromFileA
          3    2 0014E3F0 D3DXAssembleShaderFromFileW
          4    3 0014E570 D3DXAssembleShaderFromResourceA
          5    4 0014E700 D3DXAssembleShaderFromResourceW
          6    5 00067B40 D3DXBoxBoundProbe
          7    6 001203A0 D3DXCheckCubeTextureRequirements
          8    7 00120350 D3DXCheckTextureRequirements
          9    8 000335E0 D3DXCheckVersion
         10    9 001203F0 D3DXCheckVolumeTextureRequirements
         11    A 0006B490 D3DXCleanMesh
         12    B 0005C120 D3DXColorAdjustContrast
         13    C 0005C0A0 D3DXColorAdjustSaturation
         14    D 0014F240 D3DXCompileShader
         15    E 0014EA10 D3DXCompileShaderFromFileA
         16    F 0014EC10 D3DXCompileShaderFromFileW
         17   10 0014EE20 D3DXCompileShaderFromResourceA
         18   11 0014F030 D3DXCompileShaderFromResourceW
         19   12 0006D2E0 D3DXComputeBoundingBox
         20   13 0006CF20 D3DXComputeBoundingSphere
         21   14 002DEEC0 D3DXComputeIMTFromPerTexelSignal
         22   15 002DD030 D3DXComputeIMTFromPerVertexSignal
         23   16 002DD4A0 D3DXComputeIMTFromSignal
         24   17 002DE820 D3DXComputeIMTFromTexture
         25   18 00122010 D3DXComputeNormalMap
         26   19 000A4DC0 D3DXComputeNormals
         27   1A 000A4EB0 D3DXComputeTangent
         28   1B 000A5050 D3DXComputeTangentFrame
         29   1C 000A50D0 D3DXComputeTangentFrameEx
         30   1D 00246F70 D3DXConcatenateMeshes
         31   1E 000A6A60 D3DXConvertMeshSubsetToSingleStrip
         32   1F 000A6B30 D3DXConvertMeshSubsetToStrips
         33   20 00060900 D3DXCpuOptimizations
         34   21 000499F0 D3DXCreateAnimationController
         35   22 001190B0 D3DXCreateBox
         36   23 00034630 D3DXCreateBuffer
         37   24 0004A4D0 D3DXCreateCompressedAnimationSet
         38   25 00120580 D3DXCreateCubeTexture
         39   26 001274F0 D3DXCreateCubeTextureFromFileA
         40   27 001265D0 D3DXCreateCubeTextureFromFileExA
         41   28 00126700 D3DXCreateCubeTextureFromFileExW
         42   29 00126AB0 D3DXCreateCubeTextureFromFileInMemory
         43   2A 001257B0 D3DXCreateCubeTextureFromFileInMemoryEx
         44   2B 001275E0 D3DXCreateCubeTextureFromFileW
         45   2C 001276E0 D3DXCreateCubeTextureFromResourceA
         46   2D 00126830 D3DXCreateCubeTextureFromResourceExA
         47   2E 00126970 D3DXCreateCubeTextureFromResourceExW
         48   2F 00127800 D3DXCreateCubeTextureFromResourceW
         49   30 0011A4C0 D3DXCreateCylinder
         50   31 00166E10 D3DXCreateEffect
         51   32 00165B10 D3DXCreateEffectCompiler
         52   33 00165470 D3DXCreateEffectCompilerFromFileA
