Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\d3dx10_41.dll

File Type: DLL

  Section contains the following exports for d3dx10_41.dll

    00000000 characteristics
    49A76B51 time date stamp Fri Feb 27 05:25:53 2009
        0.00 version
           1 ordinal base
         176 number of functions
         176 number of names

    ordinal hint RVA      name

          2    0 000195A4 D3DX10CheckVersion
          3    1 0001A73C D3DX10CompileFromFileA
          4    2 0001A93C D3DX10CompileFromFileW
          5    3 0001ABC0 D3DX10CompileFromMemory
          6    4 0001ADE8 D3DX10CompileFromResourceA
          7    5 0001B010 D3DX10CompileFromResourceW
          8    6 00047860 D3DX10ComputeNormalMap
          9    7 0001A268 D3DX10CreateAsyncCompilerProcessor
         10    8 0001A4B0 D3DX10CreateAsyncEffectCreateProcessor
         11    9 0001A5FC D3DX10CreateAsyncEffectPoolCreateProcessor
         12    A 00049FEC D3DX10CreateAsyncFileLoaderA
         13    B 00049F38 D3DX10CreateAsyncFileLoaderW
         14    C 0004A0A0 D3DX10CreateAsyncMemoryLoader
         15    D 0004A130 D3DX10CreateAsyncResourceLoaderA
         16    E 0004A23C D3DX10CreateAsyncResourceLoaderW
         17    F 0001A3A8 D3DX10CreateAsyncShaderPreprocessProcessor
         18   10 0004A42C D3DX10CreateAsyncShaderResourceViewProcessor
         19   11 0004A544 D3DX10CreateAsyncTextureInfoProcessor
         20   12 0004A34C D3DX10CreateAsyncTextureProcessor
         21   13 0001926C D3DX10CreateDevice
         22   14 00019360 D3DX10CreateDeviceAndSwapChain
         23   15 0001BD2C D3DX10CreateEffectFromFileA
         24   16 0001BF30 D3DX10CreateEffectFromFileW
         25   17 0001C674 D3DX10CreateEffectFromMemory
         26   18 0001C1C4 D3DX10CreateEffectFromResourceA
         27   19 0001C3D8 D3DX10CreateEffectFromResourceW
         28   1A 0001C888 D3DX10CreateEffectPoolFromFileA
         29   1B 0001CA7C D3DX10CreateEffectPoolFromFileW
         30   1C 0001D194 D3DX10CreateEffectPoolFromMemory
         31   1D 0001CD00 D3DX10CreateEffectPoolFromResourceA
         32   1E 0001CF08 D3DX10CreateEffectPoolFromResourceW
         33   1F 000195C4 D3DX10CreateFontA
         34   20 000197E0 D3DX10CreateFontIndirectA
         35   21 00019880 D3DX10CreateFontIndirectW
         36   22 000196C8 D3DX10CreateFontW
         37   23 0000B124 D3DX10CreateMesh
         38   24 0001D39C D3DX10CreateShaderResourceViewFromFileA
         39   25 0001D510 D3DX10CreateShaderResourceViewFromFileW
         40   26 0001D98C D3DX10CreateShaderResourceViewFromMemory
         41   27 0001D684 D3DX10CreateShaderResourceViewFromResourceA
         42   28 0001D808 D3DX10CreateShaderResourceViewFromResourceW
         43   29 0000DCD0 D3DX10CreateSkinInfo
         44   2A 00020810 D3DX10CreateSprite
         45   2B 0001DB10 D3DX10CreateTextureFromFileA
         46   2C 0001DC84 D3DX10CreateTextureFromFileW
         47   2D 0001E100 D3DX10CreateTextureFromMemory
         48   2E 0001DDF8 D3DX10CreateTextureFromResourceA
         49   2F 0001DF7C D3DX10CreateTextureFromResourceW
