Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\d3dx9_29.dll

File Type: DLL

  Section contains the following exports for d3dx9_29.dll

    00000000 characteristics
    43E3792E time date stamp Fri Feb  3 16:39:26 2006
        0.00 version
           1 ordinal base
         332 number of functions
         332 number of names

    ordinal hint RVA      name

          1    0 0014E8D0 D3DXAssembleShader
          2    1 0014E2B0 D3DXAssembleShaderFromFileA
          3    2 0014E430 D3DXAssembleShaderFromFileW
          4    3 0014E5B0 D3DXAssembleShaderFromResourceA
          5    4 0014E740 D3DXAssembleShaderFromResourceW
          6    5 00067B40 D3DXBoxBoundProbe
          7    6 001203C0 D3DXCheckCubeTextureRequirements
          8    7 00120370 D3DXCheckTextureRequirements
          9    8 00033670 D3DXCheckVersion
         10    9 00120410 D3DXCheckVolumeTextureRequirements
         11    A 0006B490 D3DXCleanMesh
         12    B 0005C250 D3DXColorAdjustContrast
         13    C 0005C1D0 D3DXColorAdjustSaturation
         14    D 0014F280 D3DXCompileShader
         15    E 0014EA50 D3DXCompileShaderFromFileA
         16    F 0014EC50 D3DXCompileShaderFromFileW
         17   10 0014EE60 D3DXCompileShaderFromResourceA
         18   11 0014F070 D3DXCompileShaderFromResourceW
         19   12 0006D2F0 D3DXComputeBoundingBox
         20   13 0006CF30 D3DXComputeBoundingSphere
         21   14 002DFA50 D3DXComputeIMTFromPerTexelSignal
         22   15 002DDA90 D3DXComputeIMTFromPerVertexSignal
         23   16 002DDF80 D3DXComputeIMTFromSignal
         24   17 002DF330 D3DXComputeIMTFromTexture
         25   18 00122030 D3DXComputeNormalMap
         26   19 000A5400 D3DXComputeNormals
         27   1A 000A54F0 D3DXComputeTangent
         28   1B 000A5690 D3DXComputeTangentFrame
         29   1C 000A5710 D3DXComputeTangentFrameEx
         30   1D 00246FC0 D3DXConcatenateMeshes
         31   1E 000A70A0 D3DXConvertMeshSubsetToSingleStrip
         32   1F 000A7170 D3DXConvertMeshSubsetToStrips
         33   20 00060900 D3DXCpuOptimizations
         34   21 00049AA0 D3DXCreateAnimationController
         35   22 001190C0 D3DXCreateBox
         36   23 000346D0 D3DXCreateBuffer
         37   24 0004A6B0 D3DXCreateCompressedAnimationSet
         38   25 001205A0 D3DXCreateCubeTexture
         39   26 00127570 D3DXCreateCubeTextureFromFileA
         40   27 00126650 D3DXCreateCubeTextureFromFileExA
         41   28 00126780 D3DXCreateCubeTextureFromFileExW
         42   29 00126B30 D3DXCreateCubeTextureFromFileInMemory
         43   2A 00125830 D3DXCreateCubeTextureFromFileInMemoryEx
         44   2B 00127660 D3DXCreateCubeTextureFromFileW
         45   2C 00127760 D3DXCreateCubeTextureFromResourceA
         46   2D 001268B0 D3DXCreateCubeTextureFromResourceExA
         47   2E 001269F0 D3DXCreateCubeTextureFromResourceExW
         48   2F 00127880 D3DXCreateCubeTextureFromResourceW
         49   30 0011A4D0 D3DXCreateCylinder
         50   31 00166E50 D3DXCreateEffect
         51   32 00165B50 D3DXCreateEffectCompiler
         52   33 001654B0 D3DXCreateEffectCompilerFromFileA
