Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\vccorlib110.dll

File Type: DLL

  Section contains the following exports for vccorlib110.DLL

    00000000 characteristics
    50988AE4 time date stamp Tue Nov  6 04:58:28 2012
        0.00 version
           1 ordinal base
         249 number of functions
         249 number of names

    ordinal hint RVA      name

          1    0 00018220 ?<Dispose>@Exception@Platform@@UE$AAAXXZ
          2    1 00001108 ?<Dispose>@String@Platform@@UE$AAAXXZ
          3    2 000211FC ?<Dispose>@Type@Platform@@UE$AAAXXZ
          4    3 00018898 ??0AccessDeniedException@Platform@@QE$AAA@PE$AAVString@1@@Z
          5    4 00018840 ??0AccessDeniedException@Platform@@QE$AAA@XZ
          6    5 000015E4 ??0Attribute@Metadata@Platform@@QE$AAA@XZ
          7    6 0000348C ??0Boolean@Platform@@QEAA@_N@Z
          8    7 00018414 ??0COMException@Platform@@QE$AAA@H@Z
          9    8 00018468 ??0COMException@Platform@@QE$AAA@HPE$AAVString@1@@Z
         10    9 00018AB4 ??0ChangedStateException@Platform@@QE$AAA@PE$AAVString@1@@Z
         11    A 00018A5C ??0ChangedStateException@Platform@@QE$AAA@XZ
         12    B 00018C1C ??0ClassNotRegisteredException@Platform@@QE$AAA@PE$AAVString@1@@Z
         13    C 00018BC4 ??0ClassNotRegisteredException@Platform@@QE$AAA@XZ
         14    D 00016A6C ??0Delegate@Platform@@QE$AAA@XZ
         15    E 00018CD0 ??0DisconnectedException@Platform@@QE$AAA@PE$AAVString@1@@Z
         16    F 00018C78 ??0DisconnectedException@Platform@@QE$AAA@XZ
         17   10 0001B2A0 ??0Enum@Platform@@QE$AAA@XZ
         18   11 0001801C ??0Exception@Platform@@QE$AAA@H@Z
         19   12 00018118 ??0Exception@Platform@@QE$AAA@HPE$AAVString@1@@Z
         20   13 0001894C ??0FailureException@Platform@@QE$AAA@PE$AAVString@1@@Z
         21   14 000188F4 ??0FailureException@Platform@@QE$AAA@XZ
         22   15 00005520 ??0GridLength@Xaml@UI@Windows@@QEAA@NW4GridUnitType@123@@Z
         23   16 00005578 ??0IntPtr@Platform@@QEAA@H@Z
         24   17 000038A8 ??0IntPtr@Platform@@QEAA@PEAX@Z
         25   18 000185C8 ??0InvalidArgumentException@Platform@@QE$AAA@PE$AAVString@1@@Z
         26   19 00018570 ??0InvalidArgumentException@Platform@@QE$AAA@XZ
         27   1A 0001867C ??0InvalidCastException@Platform@@QE$AAA@PE$AAVString@1@@Z
         28   1B 00018624 ??0InvalidCastException@Platform@@QE$AAA@XZ
         29   1C 000016E8 ??0MTAThreadAttribute@Platform@@QE$AAA@XZ
         30   1D 000187E4 ??0NotImplementedException@Platform@@QE$AAA@PE$AAVString@1@@Z
         31   1E 0001878C ??0NotImplementedException@Platform@@QE$AAA@XZ
         32   1F 00018730 ??0NullReferenceException@Platform@@QE$AAA@PE$AAVString@1@@Z
         33   20 000186D8 ??0NullReferenceException@Platform@@QE$AAA@XZ
         34   21 0001AE1C ??0Object@Platform@@QE$AAA@XZ
