Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\mfc120.dll

File Type: DLL

  Section contains the following exports for mfc120.dll

    00000000 characteristics
    524F9346 time date stamp Sat Oct  5 06:19:18 2013
        0.00 version
         256 ordinal base
       14061 number of functions
           0 number of names

    ordinal hint RVA      name

        256      0024C340 [NONAME]
        257      0024C42C [NONAME]
        258      002500F8 [NONAME]
        259      00250160 [NONAME]
        260      0024FFD4 [NONAME]
        261      00250234 [NONAME]
        262      002501C8 [NONAME]
        263      0025004C [NONAME]
        264      0024C3A8 [NONAME]
        265      000824A4 [NONAME]
        266      00002944 [NONAME]
        267      00008A6C [NONAME]
        268      00008A6C [NONAME]
        269      00002840 [NONAME]
        270      00008A94 [NONAME]
        271      0028C2D8 [NONAME]
        272      0000D0A4 [NONAME]
        273      0000D0A4 [NONAME]
        274      00002840 [NONAME]
        275      00011858 [NONAME]
        276      0028AEDC [NONAME]
        277      0028C95C [NONAME]
        278      0028E7E0 [NONAME]
        279      0028E710 [NONAME]
        280      00008A6C [NONAME]
        281      0028C8B0 [NONAME]
        282      00008E04 [NONAME]
        283      001B54E4 [NONAME]
        284      001B54E4 [NONAME]
        285      00002840 [NONAME]
        286      00008E04 [NONAME]
        287      00250550 [NONAME]
        288      00008B44 [NONAME]
        289      00008954 [NONAME]
        290      001B54E4 [NONAME]
        291      00250570 [NONAME]
        292      0028CB3C [NONAME]
        293      001DA3F4 [NONAME]
        294      0028C800 [NONAME]
        295      0028C850 [NONAME]
        296      00002874 [NONAME]
        297      0028B1E4 [NONAME]
        298      0028E318 [NONAME]
        299      0028E268 [NONAME]
        300      0000D0A4 [NONAME]
        301      00074AF0 [NONAME]
        302      00037970 [NONAME]
        303      0000D458 [NONAME]
        304      0000D458 [NONAME]
        305      00002840 [NONAME]
        306      00037970 [NONAME]
        307      00019DB8 [NONAME]
        308      0028B3CC [NONAME]
        309      0024DE48 [NONAME]
        310      0000D458 [NONAME]
        311      00019EF0 [NONAME]
        312      000118FC [NONAME]
        313      000371F8 [NONAME]
        314      0028B100 [NONAME]
        315      0028B164 [NONAME]
        316      00002874 [NONAME]
        317      000C5D34 [NONAME]
        318      00121430 [NONAME]
        319      001CF0E0 [NONAME]
        320      00209274 [NONAME]
        321      00064BEC [NONAME]
        322      00121338 [NONAME]
        323      001213CC [NONAME]
        324      00121500 [NONAME]
        325      00121784 [NONAME]
        327      000039A8 [NONAME]
        329      00004680 [NONAME]
        330      00005C80 [NONAME]
        331      000056EC [NONAME]
        333      000040F0 [NONAME]
        337      00004BE8 [NONAME]
        339      000044C8 [NONAME]
        341      00003F20 [NONAME]
        342      00003484 [NONAME]
        343      0006D0B4 [NONAME]
        344      0006D058 [NONAME]
        345      001B8C88 [NONAME]
        346      001D55A0 [NONAME]
        347      001BABB0 [NONAME]
        348      00223D04 [NONAME]
        349      001D63B4 [NONAME]
        350      0024E82C [NONAME]
        351      0000A2C0 [NONAME]
        352      0000A9D0 [NONAME]
        353      00011D14 [NONAME]
        354      001CDC84 [NONAME]
        355      001F44C4 [NONAME]
