Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\d3dx9_35.dll

File Type: DLL

  Section contains the following exports for d3dx9_35.dll

    00000000 characteristics
    469FF140 time date stamp Fri Jul 20 01:18:24 2007
        0.00 version
           1 ordinal base
         334 number of functions
         334 number of names

    ordinal hint RVA      name

          1    0 00183A98 D3DXAssembleShader
          2    1 00183258 D3DXAssembleShaderFromFileA
          3    2 00183458 D3DXAssembleShaderFromFileW
          4    3 0018365C D3DXAssembleShaderFromResourceA
          5    4 00183878 D3DXAssembleShaderFromResourceW
          6    5 000B9418 D3DXBoxBoundProbe
          7    6 00161188 D3DXCheckCubeTextureRequirements
          8    7 00161140 D3DXCheckTextureRequirements
          9    8 0007C9C8 D3DXCheckVersion
         10    9 001611CC D3DXCheckVolumeTextureRequirements
         11    A 000BB854 D3DXCleanMesh
         12    B 000A10F4 D3DXColorAdjustContrast
         13    C 000A1074 D3DXColorAdjustSaturation
         14    D 001842B0 D3DXCompileShader
         15    E 00183CB0 D3DXCompileShaderFromFileA
         16    F 00183E0C D3DXCompileShaderFromFileW
         17   10 00183F68 D3DXCompileShaderFromResourceA
         18   11 00184138 D3DXCompileShaderFromResourceW
         19   12 000C427C D3DXComputeBoundingBox
         20   13 000C4114 D3DXComputeBoundingSphere
         21   14 002D2EA0 D3DXComputeIMTFromPerTexelSignal
         22   15 002D0C08 D3DXComputeIMTFromPerVertexSignal
         23   16 002D1070 D3DXComputeIMTFromSignal
         24   17 002D2114 D3DXComputeIMTFromTexture
         25   18 00165EA0 D3DXComputeNormalMap
         26   19 000ECBF8 D3DXComputeNormals
         27   1A 000ECCCC D3DXComputeTangent
         28   1B 000ECE4C D3DXComputeTangentFrame
         29   1C 000ECEC8 D3DXComputeTangentFrameEx
         30   1D 0024F6E0 D3DXConcatenateMeshes
         31   1E 000ECF78 D3DXConvertMeshSubsetToSingleStrip
         32   1F 000ED024 D3DXConvertMeshSubsetToStrips
         33   20 0008FC8C D3DXCreateAnimationController
         34   21 0015A4F8 D3DXCreateBox
         35   22 0007DA30 D3DXCreateBuffer
         36   23 000905AC D3DXCreateCompressedAnimationSet
         37   24 00162A70 D3DXCreateCubeTexture
         38   25 00162B60 D3DXCreateCubeTextureFromFileA
         39   26 00162E38 D3DXCreateCubeTextureFromFileExA
         40   27 00162F3C D3DXCreateCubeTextureFromFileExW
         41   28 00163244 D3DXCreateCubeTextureFromFileInMemory
         42   29 001632FC D3DXCreateCubeTextureFromFileInMemoryEx
         43   2A 00162C14 D3DXCreateCubeTextureFromFileW
         44   2B 00162CC8 D3DXCreateCubeTextureFromResourceA
         45   2C 00163044 D3DXCreateCubeTextureFromResourceExA
         46   2D 00163144 D3DXCreateCubeTextureFromResourceExW
         47   2E 00162D80 D3DXCreateCubeTextureFromResourceW
         48   2F 0015ACE4 D3DXCreateCylinder
         49   30 00197BEC D3DXCreateEffect
         50   31 001968C8 D3DXCreateEffectCompiler
         51   32 00195D20 D3DXCreateEffectCompilerFromFileA
         52   33 0019600C D3DXCreateEffectCompilerFromFileW
